station_id,station_name,district,address,latitude,longitude,x_meter,y_meter,cluster_id,cluster_label,distance_to_centroid_m,rental_count,meaningful_coordinate_movement,max_distance_m,active_month_count,first_active_month,last_active_month
1183,KC 대학교,강서구,강서구 까치산로 24길 47,37.54832077,126.85340118,-12233.868751291071,66.69050237337204,0,cluster_0,4563.1428873976065,12757,False,0.0017631940110492,24,2023-01,2024-12
1184,마곡13단지,강서구,강서구 공항동 1343,37.55644989,126.815979,-15533.025229439661,970.6074044588249,0,cluster_0,7932.529533233326,89720,False,0.0,24,2023-01,2024-12
1185,등촌9단지,강서구,강서구 화곡로 63가길 92 (등촌동 704),37.56290054,126.84947205,-12580.262646383617,1687.8869580185908,0,cluster_0,5779.36356743804,41840,False,0.0044071249300252,24,2023-01,2024-12
1186,송정중학교,강서구,강서구 공항동 1342,37.55472946,126.81609344,-15522.93614677786,779.304316811527,0,cluster_0,7850.878753994988,29070,False,0.0035260870526519,24,2023-01,2024-12
1187,강서수산물도매시장,강서구,강서구 외발산동 424,37.55302048,126.818367,-15322.498058926789,589.2744110745336,0,cluster_0,7595.2987318313235,25307,False,0.0,24,2023-01,2024-12
1188,롯데중앙연구소,강서구,강서구 마곡동 301-3,37.57138062,126.82833862,-14443.395486051935,2630.8288315581667,0,cluster_0,7820.429257718079,10763,False,0.0017626483960617,24,2023-01,2024-12
119,서강나루 공원,마포구,서울특별시 마포구 창전로 30,37.54528427,126.93105316,-5388.034733659899,-270.95289238174036,0,cluster_0,3377.54953777422,40789,False,0.0035265339149752,24,2023-01,2024-12
1190,마곡역 교차로(2번출구),강서구,강서구 마곡동 727-747,37.5605011,126.82665253,-14592.041950425897,1421.0814032309186,0,cluster_0,7282.068849525473,49168,False,0.0026443610178395,24,2023-01,2024-12
1191,"마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)",강서구,강서구 마곡동 727-925,37.5602417,126.8271637,-14546.976969793468,1392.237439258867,0,cluster_0,7228.6717827022185,90400,False,0.0,24,2023-01,2024-12
1192,마곡수명산파크 209동 건너편,강서구,강서구 내발산동 741-8,37.55545044,126.82689667,-14570.518456538292,859.473635024311,0,cluster_0,7007.583906442792,68497,False,0.0026445402645093,24,2023-01,2024-12
