datetime,cluster_id,cluster_label,rental_count,year_month
2023-01-06 07:00:00,1,cluster_1,744,2023-01
2023-01-06 07:00:00,2,cluster_2,874,2023-01
2023-01-06 08:00:00,0,cluster_0,3860,2023-01
2023-01-06 08:00:00,1,cluster_1,1356,2023-01
2023-01-06 08:00:00,2,cluster_2,1786,2023-01
2023-01-06 09:00:00,0,cluster_0,1738,2023-01
2023-01-06 09:00:00,1,cluster_1,818,2023-01
2023-01-06 09:00:00,2,cluster_2,1054,2023-01
2023-01-06 10:00:00,0,cluster_0,1126,2023-01
2023-01-06 10:00:00,1,cluster_1,646,2023-01
2023-01-06 10:00:00,2,cluster_2,649,2023-01
2023-01-06 11:00:00,0,cluster_0,1381,2023-01
2023-01-06 11:00:00,1,cluster_1,843,2023-01
2023-01-06 11:00:00,2,cluster_2,780,2023-01
2023-01-06 12:00:00,0,cluster_0,1533,2023-01
2023-01-06 12:00:00,1,cluster_1,896,2023-01
2023-01-06 12:00:00,2,cluster_2,834,2023-01
2023-01-06 13:00:00,0,cluster_0,1554,2023-01
2023-01-06 13:00:00,1,cluster_1,858,2023-01
2023-01-06 13:00:00,2,cluster_2,814,2023-01
2023-01-06 14:00:00,0,cluster_0,1525,2023-01
2023-01-06 14:00:00,1,cluster_1,913,2023-01
2023-01-06 14:00:00,2,cluster_2,848,2023-01
2023-01-06 15:00:00,0,cluster_0,1609,2023-01
2023-01-06 15:00:00,1,cluster_1,995,2023-01
2023-01-06 15:00:00,2,cluster_2,882,2023-01
2023-01-06 16:00:00,0,cluster_0,1929,2023-01
2023-01-06 16:00:00,1,cluster_1,1106,2023-01
2023-01-06 16:00:00,2,cluster_2,1106,2023-01
2023-01-06 17:00:00,0,cluster_0,2918,2023-01
2023-01-06 17:00:00,1,cluster_1,1349,2023-01
2023-01-06 17:00:00,2,cluster_2,1582,2023-01
2023-01-06 18:00:00,0,cluster_0,3591,2023-01
2023-01-06 18:00:00,1,cluster_1,1323,2023-01
2023-01-06 18:00:00,2,cluster_2,1815,2023-01
2023-01-06 19:00:00,0,cluster_0,1906,2023-01
2023-01-06 19:00:00,1,cluster_1,935,2023-01
2023-01-06 19:00:00,2,cluster_2,1170,2023-01
2023-01-06 20:00:00,0,cluster_0,422,2023-01
2023-01-06 20:00:00,1,cluster_1,421,2023-01
2023-01-06 20:00:00,2,cluster_2,550,2023-01
2023-01-06 21:00:00,0,cluster_0,335,2023-01
2023-01-06 21:00:00,1,cluster_1,183,2023-01
2023-01-06 21:00:00,2,cluster_2,241,2023-01
2023-01-06 22:00:00,0,cluster_0,123,2023-01
2023-01-06 22:00:00,1,cluster_1,145,2023-01
2023-01-06 22:00:00,2,cluster_2,193,2023-01
2023-01-06 23:00:00,0,cluster_0,253,2023-01
2023-01-06 23:00:00,1,cluster_1,75,2023-01
2023-01-06 23:00:00,2,cluster_2,83,2023-01
2023-01-07 00:00:00,0,cluster_0,380,2023-01
2023-01-07 00:00:00,1,cluster_1,165,2023-01
